127.0.0.1 - - [25/Sep/2024:19:43:17 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [25/Sep/2024:19:43:20 -0300] "GET /OlaMundo/alunos/cadastro/listar.jsp HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [25/Sep/2024:19:43:25 -0300] "GET /OlaMundo/alunos/cadastro/formulario.jsp?id=0 HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [25/Sep/2024:19:44:26 -0300] "GET /OlaMundo/alunos/cadastro/listar.jsp HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [25/Sep/2024:19:44:51 -0300] "GET /OlaMundo/alunos/cadastro/listar.jsp HTTP/1.1" 200 2124
0:0:0:0:0:0:0:1 - - [25/Sep/2024:19:45:34 -0300] "GET /OlaMundo/alunos/cadastro/listar.jsp HTTP/1.1" 200 2140
0:0:0:0:0:0:0:1 - - [25/Sep/2024:19:46:31 -0300] "GET /OlaMundo/alunos/cadastro/listar.jsp HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [25/Sep/2024:19:47:23 -0300] "GET /OlaMundo/alunos/cadastro/listar.jsp HTTP/1.1" 200 2154
0:0:0:0:0:0:0:1 - - [25/Sep/2024:19:47:59 -0300] "GET /OlaMundo/alunos/cadastro/listar.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [25/Sep/2024:19:54:22 -0300] "GET /OlaMundo/alunos/cadastro/listar.jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [25/Sep/2024:19:54:26 -0300] "GET /OlaMundo/alunos/cadastro/excluir.jsp?id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:19:54:31 -0300] "GET /OlaMundo/alunos/cadastro/listar.jsp?msg=Aluno%20exclu%EDdo%20com%20sucesso! HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [25/Sep/2024:19:56:46 -0300] "GET /OlaMundo/alunos/cadastro/listar.jsp?msg=Aluno%20exclu%EDdo%20com%20sucesso! HTTP/1.1" 200 2073
0:0:0:0:0:0:0:1 - - [25/Sep/2024:19:57:07 -0300] "GET /OlaMundo/alunos/cadastro/listar.jsp?msg=Aluno%20exclu%EDdo%20com%20sucesso! HTTP/1.1" 200 2073
