127.0.0.1 - - [04/Sep/2024:19:25:04 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [04/Sep/2024:19:25:15 -0300] "GET /OlaMundo/cadastro/listar.jsp HTTP/1.1" 200 3797
0:0:0:0:0:0:0:1 - - [04/Sep/2024:19:25:15 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Sep/2024:19:25:55 -0300] "GET /OlaMundo/cadastro/listar.jsp HTTP/1.1" 200 3797
0:0:0:0:0:0:0:1 - - [04/Sep/2024:19:26:56 -0300] "GET /OlaMundo/cadastro/formulario.jsp HTTP/1.1" 500 2503
0:0:0:0:0:0:0:1 - - [04/Sep/2024:19:26:58 -0300] "GET /OlaMundo/cadastro/listar.jsp HTTP/1.1" 200 3802
0:0:0:0:0:0:0:1 - - [04/Sep/2024:19:27:14 -0300] "GET /OlaMundo/cadastro/formulario.jsp HTTP/1.1" 500 2503
0:0:0:0:0:0:0:1 - - [04/Sep/2024:19:27:22 -0300] "GET /OlaMundo/cadastro/listar.jsp HTTP/1.1" 200 3802
0:0:0:0:0:0:0:1 - - [04/Sep/2024:19:27:29 -0300] "GET /OlaMundo/cadastro/formulario.jsp?id=0 HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [04/Sep/2024:19:28:38 -0300] "GET /OlaMundo/cadastro/formulario.jsp?id=0 HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [04/Sep/2024:19:29:30 -0300] "GET /OlaMundo/cadastro/formulario.jsp?id=0 HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [04/Sep/2024:19:30:20 -0300] "POST /OlaMundo/cadastro/gravar.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [04/Sep/2024:19:30:22 -0300] "GET /OlaMundo/cadastro/index.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [04/Sep/2024:19:30:26 -0300] "GET /OlaMundo/cadastro/listar.jsp HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [04/Sep/2024:19:30:54 -0300] "GET /OlaMundo/cadastro/index.jsp HTTP/1.1" 200 254
