0:0:0:0:0:0:0:1 - - [01/Oct/2024:19:48:13 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 4093
0:0:0:0:0:0:0:1 - - [01/Oct/2024:19:50:46 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 4093
0:0:0:0:0:0:0:1 - - [01/Oct/2024:19:50:50 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?id=15 HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [01/Oct/2024:19:50:54 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 4093
0:0:0:0:0:0:0:1 - - [01/Oct/2024:19:51:17 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?id=14 HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [01/Oct/2024:19:51:37 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 4093
0:0:0:0:0:0:0:1 - - [01/Oct/2024:19:53:10 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?id=15 HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [01/Oct/2024:19:53:13 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 4093
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:09:20 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?id=15 HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:09:23 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 4093
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:10:49 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?id=15 HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:10:55 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 4093
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:11:05 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?id=16 HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:11:44 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 4143
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:11:49 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?idaluno=16 HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:11:54 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 3604
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:13:27 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?idaluno=15 HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:14:45 -0300] "POST /OlaMundo/alunos/cadastrobean/gravar.jsp HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:14:54 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 3607
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:19:07 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:19:12 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?id=0 HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:19:41 -0300] "POST /OlaMundo/alunos/cadastrobean/gravar.jsp HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:20:07 -0300] "POST /OlaMundo/alunos/cadastrobean/gravar.jsp HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:20:13 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:20:26 -0300] "GET /OlaMundo/alunos/cadastrobean/listar.jsp HTTP/1.1" 200 4867
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:20:31 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?idaluno=19 HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:20:55 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?idaluno=19 HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:20:59 -0300] "GET /OlaMundo/alunos/cadastrobean/listar.jsp HTTP/1.1" 200 4306
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:21:31 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?idaluno=12 HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:21:38 -0300] "GET /OlaMundo/alunos/cadastrobean/listar.jsp HTTP/1.1" 200 3733
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:21:47 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:21:51 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?id=0 HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:21:53 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:21:57 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?id=0 HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:23:12 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?id=0 HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:23:16 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?id=0 HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:23:17 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:23:21 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?idaluno=0 HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:24:23 -0300] "POST /OlaMundo/alunos/cadastrobean/gravar.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:24:29 -0300] "GET /OlaMundo/alunos/cadastrobean/listar.jsp HTTP/1.1" 200 4278
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:28:41 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?idaluno=14 HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:28:46 -0300] "GET /OlaMundo/alunos/cadastrobean/listar.jsp HTTP/1.1" 200 3717
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:29:01 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?idaluno=15 HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:29:06 -0300] "GET /OlaMundo/alunos/cadastrobean/listar.jsp HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:29:10 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?idaluno=20 HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:29:12 -0300] "GET /OlaMundo/alunos/cadastrobean/listar.jsp HTTP/1.1" 200 2635
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:29:15 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?idaluno=17 HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:29:17 -0300] "GET /OlaMundo/alunos/cadastrobean/listar.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:29:21 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?idaluno=18 HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:29:24 -0300] "GET /OlaMundo/alunos/cadastrobean/listar.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:29:34 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?idaluno=0 HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:30:11 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?idaluno=0 HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:30:29 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?idaluno=0 HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:31:48 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?idaluno=0 HTTP/1.1" 200 2522
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:32:11 -0300] "POST /OlaMundo/alunos/cadastrobean/gravar.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:32:16 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:32:19 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?idaluno=0 HTTP/1.1" 200 2522
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:32:47 -0300] "POST /OlaMundo/alunos/cadastrobean/gravar.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:32:50 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:33:00 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?idaluno=0 HTTP/1.1" 200 2522
