127.0.0.1 - - [27/Aug/2024:20:05:30 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:05:34 -0300] "GET /OlaMundo/cadastro/index.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:05:35 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:05:46 -0300] "GET /OlaMundo/cadastro/formulario.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:05:54 -0300] "POST /OlaMundo/cadastro/gravar.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:05:56 -0300] "GET /OlaMundo/cadastro/index.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:05:57 -0300] "GET /OlaMundo/cadastro/listar.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:14:06 -0300] "GET /OlaMundo/cadastro/index.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:14:08 -0300] "GET /OlaMundo/cadastro/formulario.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:14:11 -0300] "GET /OlaMundo/cadastro/listar.jsp HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:14:15 -0300] "GET /OlaMundo/cadastro/index.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:14:16 -0300] "GET /OlaMundo/cadastro/formulario.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:14:39 -0300] "POST /OlaMundo/cadastro/gravar.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:14:43 -0300] "GET /OlaMundo/cadastro/index.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:14:44 -0300] "GET /OlaMundo/cadastro/listar.jsp HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:14:52 -0300] "GET /OlaMundo/cadastro/index.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:14:53 -0300] "GET /OlaMundo/cadastro/formulario.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:15:17 -0300] "POST /OlaMundo/cadastro/gravar.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:15:18 -0300] "GET /OlaMundo/cadastro/index.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Aug/2024:20:15:19 -0300] "GET /OlaMundo/cadastro/listar.jsp HTTP/1.1" 200 665
