127.0.0.1 - - [24/Sep/2024:19:58:37 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [24/Sep/2024:19:58:43 -0300] "GET /OlaMundo/alunos/cadastro/index.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [24/Sep/2024:19:58:43 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [24/Sep/2024:19:58:49 -0300] "GET /OlaMundo/alunos/cadastro/listar.jsp HTTP/1.1" 200 18495
0:0:0:0:0:0:0:1 - - [24/Sep/2024:19:59:12 -0300] "GET /OlaMundo/alunos/cadastro/formulario.jsp?id=0 HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [24/Sep/2024:19:59:19 -0300] "GET /OlaMundo/alunos/cadastro/index.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:07:53 -0300] "GET /OlaMundo/alunos/cadastro/index.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:07:54 -0300] "GET /OlaMundo/alunos/cadastro/index.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:08:21 -0300] "GET /OlaMundo/alunos/cadastro/index.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:08:23 -0300] "GET /OlaMundo/alunos/cadastro/formulario.jsp?id=0 HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:08:55 -0300] "POST /OlaMundo/alunos/cadastro/gravar.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:08:57 -0300] "GET /OlaMundo/alunos/cadastro/index.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:09:00 -0300] "GET /OlaMundo/alunos/cadastro/listar.jsp HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:11:29 -0300] "GET /OlaMundo/alunos/cadastro/listar.jsp HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:11:43 -0300] "GET /OlaMundo/alunos/cadastro/formulario.jsp?id=0 HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:12:25 -0300] "POST /OlaMundo/alunos/cadastro/gravar.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:17:14 -0300] "GET /OlaMundo/alunos/cadastro/formulario.jsp?id=0 HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:17:48 -0300] "GET /OlaMundo/alunos/cadastro/formulario.jsp?id=0 HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:18:16 -0300] "GET /OlaMundo/alunos/cadastro/formulario.jsp?id=0 HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:19:44 -0300] "GET /OlaMundo/alunos/cadastro/formulario.jsp?id=0 HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:20:08 -0300] "GET /OlaMundo/alunos/cadastro/formulario.jsp?id=0 HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:21:01 -0300] "GET /OlaMundo/alunos/cadastro/formulario.jsp?id=0 HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:21:16 -0300] "POST /OlaMundo/alunos/cadastro/gravar.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:21:19 -0300] "GET /OlaMundo/alunos/cadastro/index.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:21:22 -0300] "GET /OlaMundo/alunos/cadastro/listar.jsp HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:24:37 -0300] "GET /OlaMundo/alunos/cadastro/listar.jsp HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:24:44 -0300] "GET /OlaMundo/alunos/cadastro/formulario.jsp?id=1 HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:25:05 -0300] "POST /OlaMundo/alunos/cadastro/gravar.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:25:08 -0300] "GET /OlaMundo/alunos/cadastro/index.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:25:11 -0300] "GET /OlaMundo/alunos/cadastro/listar.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:25:17 -0300] "GET /OlaMundo/alunos/cadastro/excluir.jsp?id=1 HTTP/1.1" 200 214
