127.0.0.1 - - [17/Sep/2024:19:54:03 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:54:13 -0300] "GET /OlaMundo/cadastrobean/formulario.jsp HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:54:13 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:55:19 -0300] "GET /OlaMundo/cadastrobean/formulario.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:57:23 -0300] "GET /OlaMundo/cadastrobean/formulario.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:57:47 -0300] "GET /OlaMundo/cadastrobean/index.jsp HTTP/1.1" 200 26153
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:58:00 -0300] "GET /OlaMundo/cadastrobean/excluir.jsp?id=1 HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:58:05 -0300] "GET /OlaMundo/cadastrobean/index.jsp HTTP/1.1" 200 26153
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:58:22 -0300] "GET /OlaMundo/cadastrobean/formulario.jsp?id=1 HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:58:32 -0300] "POST /OlaMundo/cadastrobean/gravar.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:58:37 -0300] "GET /OlaMundo/cadastrobean/index.jsp HTTP/1.1" 200 25407
0:0:0:0:0:0:0:1 - - [17/Sep/2024:20:01:04 -0300] "GET /OlaMundo/cadastrobean/index.jsp HTTP/1.1" 200 23417
0:0:0:0:0:0:0:1 - - [17/Sep/2024:20:01:20 -0300] "GET /OlaMundo/cadastrobean/formulario.jsp?id=1 HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [17/Sep/2024:20:01:28 -0300] "POST /OlaMundo/cadastrobean/gravar.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [17/Sep/2024:20:01:31 -0300] "GET /OlaMundo/cadastrobean/index.jsp HTTP/1.1" 200 23095
0:0:0:0:0:0:0:1 - - [17/Sep/2024:20:01:46 -0300] "GET /OlaMundo/cadastrobean/excluir.jsp?id=172 HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [17/Sep/2024:20:02:02 -0300] "GET /OlaMundo/cadastrobean/index.jsp HTTP/1.1" 200 23095
0:0:0:0:0:0:0:1 - - [17/Sep/2024:20:02:27 -0300] "GET /OlaMundo/cadastrobean/excluir.jsp?id=172 HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [17/Sep/2024:20:02:31 -0300] "GET /OlaMundo/cadastrobean/index.jsp HTTP/1.1" 200 23070
0:0:0:0:0:0:0:1 - - [17/Sep/2024:20:02:38 -0300] "GET /OlaMundo/cadastrobean/excluir.jsp?id=172 HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [17/Sep/2024:20:03:22 -0300] "GET /OlaMundo/cadastrobean/index.jsp HTTP/1.1" 200 23070
0:0:0:0:0:0:0:1 - - [17/Sep/2024:20:14:24 -0300] "GET /OlaMundo/cadastrobean/excluir.jsp?id=4 HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [17/Sep/2024:20:14:37 -0300] "GET /OlaMundo/cadastrobean/index.jsp HTTP/1.1" 200 24153
0:0:0:0:0:0:0:1 - - [17/Sep/2024:20:18:11 -0300] "GET /OlaMundo/cadastrobean/excluir.jsp?id=4 HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [17/Sep/2024:20:18:14 -0300] "GET /OlaMundo/cadastrobean/index.jsp HTTP/1.1" 200 24153
